ID;Nombre;Descripcion;EdadMinima;EdadMaxima;Duracion;NumeroJugadoresMinimo;NumeroJugadoresmaximo;Puntuacion;NumUsos;Objetivo;Tipo;ImagenURL;Fuente
1;Pase de antebrazos simple;Jugador A lanza un balón a C, quien lo devuelve a A con un pase de antebrazos. Después de 10-20 pases, A y C se cambian los roles, pasando a Cprima y B.;1;99;10;2;40;0;0;Recepción;Técnica;./images/ejer1.png;1000 ejercicios/pág.54
2;Pase de antebrazos en grupo;Jugador F se mueve hasta el jugador A y este le lanza un balón, y lo devuelve con un toque de antebrazos. Tras esto, hace lo mismo con el jugador B y el resto del equipo. Al acabar, otro jugador pasa a tomar el puesto del jugador F y se repite el ejercicio.;1;99;15;5;20;0;0;Recepción;Técnica;./images/ejer2.png;1000 ejercicios/pág.54
3;Pase de antebrazos con movimiento atrás y adelante;Por parejas, un miembro lanza el balón y el compañero lo recibe con un toque de antebrazos realizando un desplazamiento hacia atrás. Tras esto, se vuelve a lanzar el balón y el compañero lo recibe del mismo modo, pero desplazándose hacia adelante. Se repite 10 veces y los compañeros se intercambian los papeles.;1;99;10;2;20;0;0;Recepción;Técnica;./images/ejer3.png;1000 ejercicios/pág.54
4;Toque de dedos simple;Por parejas, un miembro lanza el balón y el compañero lo recibe con un toque de dedos, devolviéndoselo. Tras esto, rápidamente debe tumbarse en el suelo y levantarse para volver a repetir el ejercicio. Tras 10 repeticiones, los compñaeros se intercambian los papeles.;1;40;10;2;40;0;0;Colocación;Técnica;./images/ejer4.png;1000 ejercicios/pág.54
5;Toque de dedos en despazamiento;Por tríos, un miembro lanza un balón al compañero que se encuentra entre ambos. Este jugador, realiza un toque de dedos y procede a girarse. El tercer compañero le lanza otro balón, y como se ha girado, lo vuelve a recibir con un toque de dedos hacia el tercer compañero. Tras 15 repeticiones, uno de los lanzadores pasa a ser el jugador del medio y realiza el ejercicio. El ejercicio termina cuando los tres jugadores lo han realizado.;1;99;15;3;20;0;0;Colocación;Técnica;./images/ejer5.png;1000 ejercicios/pág.54
6;Toque de dedos con bote en el suelo;Cada jugador debe realizar un toque de dedos hacia arriba, con suficiente fuerza para que el balón bote en el suelo, y el mismo jugador pueda volver a tomar el balón con las manos y vuelva a realizar un toque de dedos.;1;99;10;1;40;0;0;Colocación;Técnica;./images/ejer6.png;1000 ejercicios/pág.55
7;Remate contra la pared;Cada jugador toma un balón con la mano no dominante, lo lanza a una altura media y procede a realizar un remate con la mano dominante hacia una pared. El objetivo es que el balón toque el suelo, rebote contra la pared y se pueda realizar un segundo remate directamente.;10;99;10;1;40;0;0;Remate;Técnica;./images/ejer7.png;1000 ejercicios/pág.72
8;Remate y pase de dedos;Por parejas, un jugador realiza un remate hacia el suelo. Al rebotar, el segundo compañero debe realizar un toque de dedos y devolver el balón al primero.;10;99;15;2;40;0;0;Remate;Técnica;./images/ejer8.png;1000 ejercicios/pág.72
9;Remate directo al compañero;Por parejas, A toma un balón y lo remata por encima de la red, que se encuentra a una altura cómoda de remate, B lo toma con las manos y se lo devuelve a A haciéndolo rodar por el suelo. Tras 20 remates, los jugadores se intercambian los papeles.;10;99;15;2;40;0;0;Remate;Técnica;./images/ejer9.png;1000 ejercicios/pág.72
10;Defensa de remate desde un banco;Por tríos, A se sitúa encima de un banco y realiza un remate a B. Este lo debe recibir correctamente hacia delante y pasárselo a C, que se encuentra entre ambos. Por último, C le pasa de vuelta el balón a A y se repite el ejercicio. ;14;40;10;3;40;0;0;Defensa;Técnica;./images/ejer10.png;1000 ejercicios/pág.87
11;Defensa de remate suave;Por parejas, A lanza un balón suave por encima de la red y B lo debe recibir intentando que el balón vaya cerca de la red. A pasa por debajo de la misma y toma el balón para repetirlo.;10;40;10;2;40;0;0;Defensa;Técnica;./images/ejer11.png;1000 ejercicios/pág.87
12;Defensa de remate múltiple;En grupos de 5, B se sitúa de cara hacia el resto. Los cuatro compañeros restantes realizan un remate suave hacia B y éste lo recibe devolviendo el balón hacia sus compañeros. Tras haber recibido correctamente 15 remates, otro jugador pasa al papel de B, y B pasa a ser uno de los rematadores. El ejercicio termina cuando los 5 jugadores han recibido todos los balones.;14;40;20;5;30;0;0;Defensa;Técnica;./images/ejer12.png;1000 ejercicios/pág.87
13;Saque apuntando a zona central;Todo el equipo se divide en los dos campos y procede a realizar un saque desde línea de fondo. El objetivo es que el balón caiga en la zona central, o la zona marcada por el entrenador.;10;99;15;2;40;0;0;Saque;Técnica;./images/ejer13.png;1000 ejercicios/pág.91
14;Saque apuntando a un compañero;A y B se turnan para realizar un saque a C, que se encuentra en el campo contrario. C debe ser capaz de recibir el saque y pasárselo a D, que tomará el balón y se lo volverá a pasar a A y a B.;10;99;15;4;40;0;0;Saque;Técnica;./images/ejer14.png;1000 ejercicios/pág.92
15;Saque apuntando a un compañero y terminando la jugada;A y B se turnan para realizar un saque a C, que se encuentra en el campo contrario. Este debe ser capaz de recibir el balón hacia su colocador, que colocará la pelota y C, u otro compañero, acabará la jugada con un remate.;14;99;15;8;40;0;0;Saque;Táctica;./images/ejer15.png;1000 ejercicios/pág.92
16;Bloqueo simple;Por parejas, A y B se sitúan pegados a la red. A lanza un balón por encima y B lo baja hacia el suelo con el gesto de bloqueo. Tras 15 repeticiones, A y B se intercambian los papeles.;10;99;5;2;40;0;0;Bloqueo;Técnica;./images/ejer16.png;1000 ejercicios/pág.82
17;Bloqueo por zona 3 y 4;Por tríos, A realiza un remate desde zona 4 por encima de la red y C bloquea. Tras ello, B realiza un remate desde zona 3 y C se desplaza hasta allí y bloquea el remate. Tras 10 remates, otro jugador pasa a realizar el bloqueo.;14;99;15;3;40;0;0;Bloqueo;Táctica;./images/ejer17.png;1000 ejercicios/pág.83
18;Bloqueo y desplazamiento de defensa;Por tríos, A salta en la red sosteniendo el balón, y B empuja la bola con el gesto de bloqueo. Tras ello, C lanza un balón complicado en el campo de B, y este lo recibí con desplazamiento.;14;99;12;3;40;0;0;Bloqueo;Técnica;./images/ejer18.png;1000 ejercicios/pág.83
19;Gestos de voleibol con globo;Cada jugador toma un globo y realiza 10 toques de antebrazos y 10 toques de dedos. El ejercicio se termina cuando todos los jugadores lo han conseguido completar sin que el globo toque el suelo.;5;12;8;1;40;0;0;Recepción;Técnica;;Propia
